"GB_Accession" "Start_of_CDS" "End_of_CDS" "Type" "Product" "Protein_ID" "Gene"
"1...862" "AB780363.1" 1 507 "gene" "translationally controlled tumor protein" NA "NbTCTP"
"1...863" "KF051949.1" 1 1192 "gene" NA NA "TOM1"
"2...864" "KF051949.1" 1 51 "5'UTR" NA NA NA
"3...865" "KF051949.1" 52 918 "CDS" "tobamovirus multiplication protein 1" "AGW21715.1" "NbTOM1"
"4...866" "KF051949.1" 919 1192 "3'UTR" NA NA NA
"1...867" "KF051948.1" 1 456 "CDS" "heat shock protein 101" "AGW21714.1" "NbHSP101"
"1...868" "KF051947.1" 1 429 "CDS" "proteinase inhibitor" "AGW21713.1" "NbPI"
"1...869" "KF051946.1" 1 496 "CDS" "cysteine protease 2" "AGW21712.1" "NbCP2"
"1...870" "KF051945.1" 1 352 "CDS" "calmodulin 3" "AGW21711.1" "NbCaM3"
"1...871" "KF051944.1" 1 339 "CDS" "auxin repressed protein 1" "AGW21710.1" "NbARP1"
"1...872" "KF280306.1" 1 1797 "CDS" "exocyst 70" "AGV75881.1" "NbExo70"
"1...873" "KF477304.1" 1 1659 "gene" "U3 small nucleolar ribonucleoprotein" "AGV75878.1" "RNP1"
"1...874" "KC790391.1" 1 583 "CDS" "UBP1" "AGV06216.1" NA
"1...875" "KC597256.1" 1 794 "CDS" "metacaspase 9" "AGI37356.1" NA
"1...876" "JF974261.1" 1 410 "gene" "CBL-interacting protein kinase 6" "AEQ66859.1" "CIPK6"
"1...877" "JF974260.1" 1 580 "gene" "cacineurin-B like 10" "AEQ66858.1" "CBL10"
"1...878" "KF017600.1" 1 933 "gene" "epoxide hydrolase" "AGT95861.1" "EH1.1"
"1...879" "JF915552.1" 1 666 "gene" "glutathione transferase" "AEI01103.1" "GSTU4"
"1...880" "KC741437.1" 41 529 "CDS" "peroxiredoxin 2B" "AGN92481.1" "PrxIIB"
"1...881" "KC741436.1" 1 695 "CDS" "2-Cys peroxiredoxin" "AGN92480.1" "2CysPrx"
"1...882" "JX232203.1" 1 631 "gene" "VTI12" "AGH30274.1" "VTI12"
"1...883" "JX175259.1" 1 357 "gene" "autophagy-related protein 9" "AGH30270.1" "ATG9"
"1...884" "JX175258.1" 1 639 "gene" "autophagy-related protein 5" "AGH30269.1" "ATG5"
"1...885" "KC585517.1" 1 2586 "gene" "9-lipoxygenase" "AGL96414.1" "9-lox"
"1...886" "EU602317.1" 1 7230 "gene" "neuroblastoma-amplified gene" "ACC64519.1" "NAG"
"1...887" "KC846070.1" 1 1956 "gene" "plastid GTPase Der" "AGL34232.1" "YphC"
"1...888" "JQ957860.1" 1 616 "gene" "ROS2" "AFU50366.1" "ROS2"
"1...889" "JQ957859.1" 1 372 "gene" "ROS1" "AFU50365.1" "ROS1"
"1...890" "JQ957858.1" 1 591 "gene" "CMT3" "AFU50364.1" "CMT3"
"1...891" "JQ957857.1" 1 567 "gene" "DRM2" "AFU50363.1" "DRM2"
"1...892" "JQ957856.1" 1 333 "gene" "DRM1" "AFU50362.1" "DRM1"
"1...893" "KC505536.1" 1 447 "gene" "chloroplast ferredoxin-thioredoxin reductase catalytic chain" "AGK06902.1" "FTRc"
"1...894" "KC907732.1" 1 777 "gene" "autophagy protein ATG7" "AGJ91146.1" "ATG7"
"1...895" "AB778815.1" 1 5555 "gene" NA NA "NbROS1"
"2...896" "AB778815.1" 1 5391 "CDS" "repressor of silencing 1" NA NA
"1...897" "KC256804.1" 1 1800 "CDS" "pescadillo" "AGG84230.1" "nop7p-like protein"
"1...898" "AM902524.1" 1 1069 "gene" "putative serine palmitoyltransferase subunit LCB2" NA "lcb2"
"1...899" "JN609462.1" 1 1064 "gene" NA NA "CPP1"
"2...900" "JN609462.1" 151 909 "CDS" "chaperone-like protein of POR 1" "AEP68099.1" NA
"1...901" "JQ347293.1" 1 1929 "CDS" "poly-A binding protein" "AFP74112.1" NA
"1...902" "GU183155.1" 1 832 "gene" NA NA "Mir3"
"2...903" "GU183155.1" 11 628 "CDS" "miraculin-like protein" "ADK62529.1" NA
"1...904" "JN687989.1" 1 417 "gene" "X-ray cross complementing protein 4" "AEZ36034.1" "XRCC4"
"1...905" "AB720027.1" 1 1185 "gene" "calcium-sensing receptor" NA "NbCAS"
"1...906" "JX495610.1" 1 419 "gene" "pyrroline-5-carboxylate reductase" "AFV26084.1" "P5CR"
"1...907" "JX040475.1" 1 1616 "gene" NA NA "IPT1"
"2...908" "JX040475.1" 192 1202 "CDS" "isopentenyl transferase 1 protein" "AFV15392.1" NA
"1...909" "JQ886090.1" 1 1476 "CDS" "catalase 1" "AFU48609.1" NA
"1...910" "JQ950744.1" 1 1472 "gene" "Ser/Thr phosphatase-containing Kelch repeat domain protein" "AFN44702.1" "BSL1"
"1...911" "JX317630.1" 1 1077 "gene" "salicylic acid methyl transferase" "AFS35577.1" "SAMT"
"1...912" "JX317629.1" 1 783 "gene" "salicylic acid-binding protein 2" "AFS35576.1" "SABP2"
"1...913" "JQ699178.1" 1 1071 "gene" NA NA "SHP"
"2...914" "JQ699178.1" 52 804 "CDS" "shatterproof" "AFK13160.1" NA
"1...915" "JQ699177.1" 1 1015 "gene" NA NA "AG"
"2...916" "JQ699177.1" 31 774 "CDS" "agamous" "AFK13159.1" NA
"1...917" "HQ245098.1" 1 666 "CDS" "PR16-1" "AEO00531.1" NA
"1...918" "HQ245096.1" 1 1767 "CDS" "polyphenol oxidase" "AEO00529.1" "NbPPO-1"
"1...919" "JN255219.1" 38 934 "CDS" "GRX1" "AER93282.1" "NbGRX1"
"1...920" "AB649285.1" 1 4708 "gene" NA NA "MAPKKKe2"
"2...921" "AB649285.1" 269 4456 "CDS" "protein kinase" NA NA
"1...922" "AB649284.1" 1 2794 "gene" NA NA "MAPKKKg"
"2...923" "AB649284.1" 220 2175 "CDS" "protein kinase" NA NA
"1...924" "AB649283.1" 1 2477 "gene" NA NA "MAPKKKb"
"2...925" "AB649283.1" 253 1947 "CDS" "protein kinase" NA NA
"1...926" "AB638716.1" 1 1139 "gene" NA NA "NbARP"
"2...927" "AB638716.1" 12 1052 "CDS" "ROX1 homologue" NA NA
"1...928" "AY206008.1" 1 368 "CDS" "glutathione S-transferase U3" "AAP04397.1" "NbGSTU3"
"1...929" "AY206007.1" 1 364 "CDS" "glutathione S-transferase U2" "AAP04396.1" "NbGSTU2"
"1...930" "AY206006.1" 1 357 "CDS" "glutathione S-transferase U1" "AAP04395.1" "NbGSTU1"
"1...931" "AY206005.1" 1 471 "CDS" "glutathione S-transferase F1" "AAP04394.1" "NbGSTF1"
"1...932" "JQ256517.1" 1 442 "gene" "glyderaldehyde-3-phosphate dehydrogenase" "AFD62805.1" "GAPDH"
"1...933" "JQ256516.1" 1 1025 "gene" "actin" "AFD62804.1" "act"
"1...934" "JF897612.1" 1 826 "gene" NA NA "psbQ2"
"2...935" "JF897612.1" 1 39 "5'UTR" NA NA NA
"3...936" "JF897612.1" 40 726 "CDS" "chloroplast PsbQ2 precursor" "AFH58006.1" "16 kDa subunit of the oxygen-evolving complex"
"4...937" "JF897612.1" 727 826 "3'UTR" NA NA NA
"1...938" "JF897611.1" 1 816 "gene" NA NA "psbQ1"
"2...939" "JF897611.1" 1 30 "5'UTR" NA NA NA
"3...940" "JF897611.1" 31 717 "CDS" "chloroplast PsbQ1 precursor" "AFH58005.1" "16 kDa subunit of the oxygen-evolving complex"
"4...941" "JF897611.1" 718 816 "3'UTR" NA NA NA
"1...942" "JF897610.1" 1 1087 "gene" NA NA "psbP4"
"2...943" "JF897610.1" 1 44 "5'UTR" NA NA NA
"3...944" "JF897610.1" 45 851 "CDS" "chloroplast PsbP4 precursor" "AFH58004.1" "24 kDa subunit of the oxygen-evolving complex"
"4...945" "JF897610.1" 852 1087 "3'UTR" NA NA NA
"1...946" "JF897609.1" 1 1085 "gene" NA NA "psbP3"
"2...947" "JF897609.1" 1 42 "5'UTR" NA NA NA
"3...948" "JF897609.1" 43 849 "CDS" "chloroplast PsbP3 precursor" "AFH58003.1" "24 kDa subunit of the oxygen-evolving complex"
"4...949" "JF897609.1" 850 1085 "3'UTR" NA NA NA
"1...950" "JF897608.1" 1 1006 "gene" NA NA "psbP2"
"2...951" "JF897608.1" 1 83 "5'UTR" NA NA NA
"3...952" "JF897608.1" 84 881 "CDS" "chloroplast PsbP2 precursor" "AFH58002.1" "24 kDa subunit of the oxygen-evolving complex"
"4...953" "JF897608.1" 882 1006 "3'UTR" NA NA NA
"1...954" "JF897607.1" 1 1030 "gene" NA NA "psbP1"
"2...955" "JF897607.1" 1 44 "5'UTR" NA NA NA
"3...956" "JF897607.1" 45 842 "CDS" "chloroplast PsbP1 precursor" "AFH58001.1" "24 kDa subunit of the oxygen-evolving complex"
"4...957" "JF897607.1" 843 1030 "3'UTR" NA NA NA
"1...958" "JF897606.1" 1 1171 "gene" NA NA "psbO4"
"2...959" "JF897606.1" 1 21 "5'UTR" NA NA NA
"3...960" "JF897606.1" 22 1023 "CDS" "chloroplast PsbO4 precursor" "AFH58000.1" "33 kDa subunit of the oxygen-evolving complex"
"4...961" "JF897606.1" 1024 1171 "3'UTR" NA NA NA
"1...962" "JF897605.1" 1 1114 "gene" NA NA "psbO3"
"2...963" "JF897605.1" 1 15 "5'UTR" NA NA NA
"3...964" "JF897605.1" 16 1017 "CDS" "chloroplast PsbO3 precursor" "AFH57999.1" "33 kDa subunit of the oxygen-evolving complex"
"4...965" "JF897605.1" 1018 1114 "3'UTR" NA NA NA
"1...966" "JF897604.1" 1 1151 "gene" NA NA "psbO2"
"2...967" "JF897604.1" 1 20 "5'UTR" NA NA NA
"3...968" "JF897604.1" 21 1019 "CDS" "chloroplast PsbO2 precursor" "AFH57998.1" "33 kDa subunit of the oxygen-evolving complex"
"4...969" "JF897604.1" 1020 1151 "3'UTR" NA NA NA
"1...970" "JF897603.1" 1 1169 "gene" NA NA "psbO1"
"2...971" "JF897603.1" 1 47 "5'UTR" NA NA NA
"3...972" "JF897603.1" 48 1046 "CDS" "chloroplast PsbO1 precursor" "AFH57997.1" "33 kDa subunit of the oxygen-evolving complex"
"4...973" "JF897603.1" 1047 1169 "3'UTR" NA NA NA
"1...974" "JF904892.1" 1 1309 "gene" NA NA "PRP1"
"2...975" "JF904892.1" 43 1020 "CDS" "PRP1 precursor" "AEO79031.1" "member of the HyPRP gene family containing a signal peptide (SP), proline-rich domain, and a conserved eight-cysteine motif (8CM)"
"1...976" "HQ873433.1" 1 1438 "gene" NA NA "DSE1"
"2...977" "HQ873433.1" 147 1274 "CDS" "decreased size exclusion limit 1" "ADX87418.1" "WD40 repeat protein"
"1...978" "JQ256518.1" 1 1438 "gene" "3-deoxy-D-arabino-heptulosonate 7-phosphate synthase" "AFD62806.1" "DAHPS"
"1...979" "HQ441177.1" 1 966 "gene" "MPB2C-like protein" "ADR32211.1" "MPB2Cb"
"1...980" "JN688264.1" 1 361 "mRNA" "hypothetical protein" "AFC90092.1" NA
"1...981" "JN688263.1" 1 1242 "mRNA" "eukaryotic initiation factor 4A-14" "AFC90091.1" NA
"1...982" "JN688262.1" 1 966 "mRNA" "brix domain-containing protein" "AFC90090.1" NA
"1...983" "GQ354821.1" 1 357 "gene" "thioredoxin H-type 1" "ACV52592.1" "TRXh"
"1...984" "GQ354819.1" 1 544 "gene" "heat shock protein 70-like protein" "ACV52590.1" "HSP70"
"1...985" "GQ354816.1" 1 503 "CDS" "hypothetical protein" "ACV52587.1" NA
"1...986" "GQ354814.1" 1 458 "gene" "transcription factor APFI-like protein" "ACV52585.1" "APFI"
"1...987" "GQ354812.1" 1 540 "gene" "ACC oxidase" "ACV52583.1" "ACO1"
"1...988" "GQ354803.1" 1 609 "gene" "FtsH-like protein" "ACV52574.1" "FtsH"
"1...989" "EU877915.1" 1 1023 "CDS" "ELI3" "ACJ61779.1" "putative CAD"
"1...990" "EU862551.1" 1 204 "CDS" "ubiquitin" "ACJ54185.1" NA
"1...991" "EU862550.1" 1 198 "CDS" "ubiquitin" "ACJ54184.1" NA
"1...992" "EU076715.1" 1 603 "CDS" "4,5-DOPA dioxygenase extradiol" "ABU62755.1" NA
"1...993" "EF588040.1" 1 1175 "gene" NA NA "THIC"
"2...994" "EF588040.1" 1 216 "mRNA" NA NA NA
"3...995" "EF588040.1" 567 1175 NA "THIC" NA NA
"4...996" "EF588040.1" 1 214 "CDS" "THIC" "ABQ66371.1" "involved in thiamin biosynthetic process"
"5...997" "EF588040.1" 215 216 "3'UTR" NA NA NA
"6...998" "EF588040.1" 812 934 "misc_feature" NA NA NA
"1...999" "DQ517333.1" 1 319 "CDS" "leaf profilin" "ABF60824.1" "PRF"
"1...1000" "DQ517332.1" 1 380 "CDS" "actin depolymerizing factor" "ABF60823.1" "ADF"
"1...1001" "DQ321491.1" 1 2715 "CDS" "AGO4-2" "ABC61505.1" "argonaute protein"
"1...1002" "DQ321490.1" 1 2736 "CDS" "AGO4-1" "ABC61504.1" "argonaute protein"
"1...1003" "DQ321489.1" 1 2937 "CDS" "AGO1-2" "ABC61503.1" "argonaute protein"
"1...1004" "DQ321488.1" 1 3156 "CDS" "AGO1-1" "ABC61502.1" "argonaute protein"
"1...1005" "AY644732.1" 1 331 "gene" NA NA "SAR8.2m"
"2...1006" "AY644732.1" 1 184 "CDS" "SAR8.2m" "AAV65395.1" NA
"1...1007" "AY569436.1" 1 698 "CDS" "protein serine/threonine phosphatase" "AAS80154.1" "PP5"
"1...1008" "AY547495.1" 1 512 "CDS" "WRKY2" "AAS55706.1" "NbWRKY2"
"1...1009" "AY547494.1" 1 534 "CDS" "NTF6" "AAS55705.1" "NbNTF6"
"1...1010" "AY547493.1" 1 186 "CDS" "COI1" "AAS55704.1" "NbCOI1"
"1...1011" "AY547492.1" 1 473 "CDS" "MYB1" "AAS55703.1" "NbMYB1"
"1...1012" "U19262.1" 15 369 "CDS" "phytoene dehydrogenase precursor" "AAC48983.1" NA
"1...1013" "HQ699883.1" 1 1182 "gene" "sulfite oxidase" "AEV40816.1" "SO"
"1...1014" "JF694761.1" 1 1029 "gene" "Potato virus X SL1 RNA interacting protein 2" "AEE92843.1" "PSL1IP2"
"1...1015" "HQ110098.1" 1 1116 "gene" "glycolate oxidase" "ADM26718.1" "GOX"
"1...1016" "AB573717.1" 38 721 "gene" "ethylene response factor 3" NA "NbERF3"
"1...1017" "HM012811.1" 1 2043 "gene" "plastid RNA-binding protein" "ADG01868.1" "PTAC10"
"1...1018" "JN232974.1" 1 1872 "CDS" "Bti9" "AEO18237.1" "NbBti9"
"1...1019" "JN232968.1" 1 1857 "CDS" "Lyk11" "AEO18231.1" "NbLyk11"
"1...1020" "JN687995.1" 1 373 "CDS" "DNA protein kinase catalytic subunit" "AEZ36040.1" "DNA PKcs"
"1...1021" "JN687994.1" 1 547 "gene" "KU80" "AEZ36039.1" "ku80"
"1...1022" "JN687993.1" 1 390 "gene" NA NA "ku70"
"2...1023" "JN687993.1" 1 343 "CDS" "KU70" "AEZ36038.1" "NHEJ mediated DNA double strand break repair, telomere maintenance"
"1...1024" "JN687992.1" 1 356 "CDS" "DNA ligase 6" "AEZ36037.1" "DNA repair, DNA ligation and seed germination"
"1...1025" "JN687991.1" 1 442 "CDS" "DNA ligase 4" "AEZ36036.1" "DNA ligation, double-strand break repair, response to DNA damage stimulus, response to X-ray"
"1...1026" "JN687990.1" 1 200 "CDS" "artemis" "AEZ36035.1" "membrane insertion protein involved in chloroplast organization and NHEJ mediated DNA double strand break repair"
"1...1027" "GQ223795.1" 1 1134 "CDS" "heterotrimeric G protein beta 2 subunit" "ACR77529.1" NA
"1...1028" "GQ223794.1" 1 981 "CDS" "heterotrimeric G protein beta 1 subunit" "ACR77528.1" "Nbb1"
"1...1029" "GQ223793.1" 1 1155 "CDS" "heterotrimeric GTP-binding protein subunit alpha" "ACR77527.1" NA
"1...1030" "EF661029.1" 1 411 "CDS" "histone H3" "ABS11143.1" NA
"1...1031" "JF903807.1" 1 397 "gene" "delta 1-pyrroline-5-carboxylate synthetase" "AEP83831.1" "P5CS"
"1...1032" "EU117390.1" 1 63 "mRNA" NA NA NA
"2...1033" "EU117390.1" 131 236 NA NA NA NA
"3...1034" "EU117390.1" 2042 2097 NA NA NA NA
"4...1035" "EU117390.1" 2276 2353 NA NA NA NA
"5...1036" "EU117390.1" 3420 3493 NA NA NA NA
"6...1037" "EU117390.1" 3581 3714 NA NA NA NA
"7...1038" "EU117390.1" 3796 3891 NA NA NA NA
"8...1039" "EU117390.1" 4037 4182 NA "4/1 protein" "ABV69700.1" NA
"1...1040" "EU117387.1" 143 895 "CDS" "4/1 protein" "ABV69697.1" NA
"1...1041" "FR878011.1" 1 1086 "gene" "phantastica" NA "phan"
"1...1042" "AB613021.1" 1 1555 "gene" NA NA "NbEDGP"
"2...1043" "AB613021.1" 25 1347 "CDS" "extracellular dermal glycoprotein" NA NA
"1...1044" "AB610801.1" 1 715 "CDS" "Nam-like protein" NA NA
"1...1045" "AB610800.1" 1 662 "gene" NA NA "GR"
"2...1046" "AB610800.1" 1 601 "CDS" "quinone reductase" NA NA
"1...1047" "AB610799.1" 1 582 "gene" NA NA "APX"
"2...1048" "AB610799.1" 1 579 "CDS" "ascorbate peroxidase" NA NA
"1...1049" "AB610798.1" 1 346 "CDS" "acetylglutamate kinase" NA NA
"1...1050" "HM236482.1" 1 981 "gene" "plastid RNA-binding protein 1" "ADI50287.1" "PRP1"
"1...1051" "AB552920.1" 1 1231 "gene" "3-hydroxy-3-methylglutaryl-coenzyme A reductase" NA "HMGR2"
"1...1052" "AB552919.1" 1 1596 "gene" "NADP-dependent malic enzyme" NA "NADP-ME"
"1...1053" "AB445392.1" 1 1617 "gene" "double WRKY type transfactor" NA "NbWRKY8"
"1...1054" "AB445391.1" 1 1677 "gene" "double WRKY type transfactor" NA "NbWRKY7"
"1...1055" "AB603768.1" 1 648 "gene" "NAD kinase" NA "NbNADK3"
"1...1056" "AB603767.1" 1 660 "gene" "NAD kinase" NA "NbNADK2"
"1...1057" "AB603766.1" 1 1143 "gene" NA NA "NbNADK1"
"2...1058" "AB603766.1" 96 995 "CDS" "NAD kinase" NA NA
"1...1059" "AB603765.1" 1 1905 "gene" NA NA "NbG6PDH-P2"
"2...1060" "AB603765.1" 12 1793 "CDS" "glucose-6-phosphate dehydrogenase" NA NA
"1...1061" "AB603764.1" 1 1808 "gene" NA NA "NbG6PDH-P1"
"2...1062" "AB603764.1" 1 1767 "CDS" "glucose-6-phosphate dehydrogenase" NA NA
"1...1063" "AB603763.1" 1 1676 "gene" NA NA "NbG6PDH-Cyto"
"2...1064" "AB603763.1" 50 1585 "CDS" "glucose-6-phosphate dehydrogenase" NA NA
"1...1065" "GU128961.2" 1 630 "gene" "methanol inducible protein" "ACY74744.2" "MIG-21"
"1...1066" "HQ332145.1" 1 2020 "gene" NA NA "Serk3B"
"2...1067" "HQ332145.1" 17 1864 "CDS" "SERK3B" "ADO86983.1" "similar to Arabidopsis BAK1/SERK3"
"1...1068" "HQ332144.1" 1 2020 "gene" NA NA "Serk3A"
"2...1069" "HQ332144.1" 17 1864 "CDS" "SERK3A" "ADO86982.1" "similar to Arabidopsis BAK1/SERK3"
"1...1070" "AB572856.1" 1 600 "gene" "Sec14 like protein" NA "Nbsec14P"
"1...1071" "FN649467.1" 1 1191 "gene" NA NA "dreb2a"
"2...1072" "FN649467.1" 1 190 "5'UTR" NA NA NA
"3...1073" "FN649467.1" 191 1183 "CDS" "transcription factor DREB2a" NA NA
"4...1074" "FN649467.1" 1184 1191 "3'UTR" NA NA NA
"1...1075" "HQ023242.1" 1 1293 "gene" "nuclear localized protein 1" "ADM26560.1" "NLP1"
"1...1076" "HM480168.1" 36 761 "CDS" "plastid NEP interaction protein" "ADK55590.1" "NbNIP"
"1...1077" "GQ477179.1" 1 1845 "CDS" "chloroplast envelope protein 1" "ACV87735.1" "CEP1"
"1...1078" "GQ261740.1" 1 1542 "CDS" "ankyrin repeat-rich protein" "ACT37362.1" NA
"1...1079" "EU779659.1" 1 1348 "gene" NA NA "NbEH2.2"
"2...1080" "EU779659.1" 216 1163 "CDS" "epoxide hydrolase" "ACE82566.1" "alpha beta hydrolase type"
"1...1081" "EU779658.1" 1 1239 "gene" NA NA "NbEH2.1"
"2...1082" "EU779658.1" 178 1125 "CDS" "epoxide hydrolase" "ACE82565.1" "alpha beta hydrolase type"
"1...1083" "EU106046.1" 1 888 "gene" "chloroplast-localized protein" "ABV24460.1" "28C12"
"1...1084" "EF562630.1" 1 1503 "CDS" "fucosyltransferase 1" "ABU48860.1" NA
"1...1085" "DQ492287.1" 1 1353 "gene" NA NA "CathB"
"2...1086" "DQ492287.1" 4 1074 "CDS" "cathepsin B" "ABF47216.1" "cysteine protease"
"1...1087" "FJ598042.1" 1 510 "CDS" "chloroplast plastocyanin precursor" "ACV32157.1" NA
"1...1088" "AB507799.1" 1 717 "gene" "hypothetical protein" NA "NbSS52"
"1...1089" "EF562628.1" 1 93 "5'UTR" NA NA NA
"2...1090" "EF562628.1" 94 1635 "CDS" "xylosyltransferase 1" "ABU48858.1" NA
"3...1091" "EF562628.1" 1636 1887 "3'UTR" NA NA NA
"1...1092" "HH768121.1" 1 735 "CDS" NA NA NA
"1...1093" "HH768119.1" 1 729 "CDS" NA NA NA
"1...1094" "GU205153.1" 249 4433 "CDS" "MAPKKKe" "ADK36643.1" "protein kinase"
"1...1095" "FM986783.1" 1 355 "gene" "dicel-like 4" NA "dcl4"
"1...1096" "FM986782.1" 1 297 "gene" "dicel-like 3" NA "dcl3"
"1...1097" "FM986781.1" 1 673 "gene" "dicel-like 2" NA "dcl2"
"1...1098" "FM986780.1" 1 238 "gene" "dicel-like 1" NA "dcl1"
"1...1099" "GQ859157.1" 1 672 "CDS" "ERF1" "ADH04266.1" "ethylene response factor/AP2 transcription factor"
"1...1100" "GQ859156.1" 1 2670 "CDS" "ARF1" "ADH04265.1" "auxin response factor transcription factor"
"1...1101" "GQ859155.1" 1 762 "CDS" "HB1" "ADH04264.1" "homeodomain transcription factor"
"1...1102" "GQ859153.1" 1 1974 "CDS" "bHLH2 transcription factor" "ADH04263.1" "bHLH/MYC-like transcription factor"
"1...1103" "GQ859152.1" 1 2043 "CDS" "bHLH1 transcription factor" "ADH04262.1" "bHLH/MYC-like transcription factor"
"1...1104" "AB453053.1" 1 694 "CDS" "serine palmitoyltransferase subunit I" NA NA
"1...1105" "AB378334.1" 89 1558 "CDS" "serine palmitoyltransferase" NA NA
"1...1106" "GQ477382.1" 44 988 "CDS" "nine-cis-epoxycarotenoid dioxygenase-like protein" "ADM18297.1" "NbNCED-like"
"1...1107" "GQ477381.1" 1 1106 "gene" NA NA "GDCP1"
"2...1108" "GQ477381.1" 54 1106 "CDS" "mitochondrial glycine decarboxylase complex P-protein-like protein" "ADM18296.1" NA
"1...1109" "FN908499.1" 1 655 "gene" NA NA "lip"
"2...1110" "FN908499.1" 239 655 "CDS" "bZIP transcription factor" NA NA
"1...1111" "FJ914316.1" 1 3204 "gene" NA NA "MAP90"
"2...1112" "FJ914316.1" 1 553 "5'UTR" NA NA NA
"3...1113" "FJ914316.1" 554 2995 "CDS" "microtubule-associated protein" "ADB08056.1" NA
"4...1114" "FJ914316.1" 2996 3204 "3'UTR" NA NA NA
"1...1115" "HC928116.1" 64 888 "CDS" NA NA NA
"1...1116" "HM211400.1" 1 1875 "CDS" "fructokinase-like protein 2" "ADI87422.1" "FLN2"
"1...1117" "HM211399.1" 1 1461 "CDS" "fructokinase-like protein 1" "ADI87414.1" "FLN1"
"1...1118" "GU722291.1" 1 3480 "gene" "increased size exclusion limit 2" "ADE05573.1" "ISE2"
"1...1119" "AY722009.1" 16 3378 "CDS" "putative RNA-dependent RNA polymerase RdRP2" "AAU21243.1" NA
"1...1120" "AY722008.1" 160 3753 "CDS" "putative RNA-dependent RNA polymerase SDE1" "AAU21242.1" NA
"1...1121" "AY699399.1" 1 3012 "CDS" "retinoblastoma protein" "AAU05979.1" "NbRBR1"
"1...1122" "AY500243.1" 1 596 "gene" NA NA "CITRX2"
"2...1123" "AY500243.1" 21 566 "CDS" "thioredoxin protein" "AAS80320.1" NA
"1...1124" "AY500242.1" 1 596 "gene" NA NA "CITRX1"
"2...1125" "AY500242.1" 21 566 "CDS" "thioredoxin protein" "AAS80319.1" NA
"1...1126" "AY574374.1" 1 3674 "gene" NA NA "RdRp1m"
"2...1127" "AY574374.1" 84 1523 "CDS" "RdRp1m truncated protein" "AAS78669.1" "NbRdRp1m"
"1...1128" "AY500155.1" 29 1864 "CDS" "MAP3Ka" "AAS78639.1" "MEK kinase"
"1...1129" "AY368905.1" 1 2100 "CDS" "molecular chaperone Hsp90-2" "AAR12194.1" "NbHsp90-2"
"1...1130" "AY368904.1" 1 2100 "CDS" "molecular chaperone Hsp90-1" "AAR12193.1" "NbHsp90-1"
"1...1131" "U46000.1" 112 1347 "CDS" "squalene synthetase" "AAA87048.1" NA
"2...1132" "U46000.1" 1626 1626 "polyA_site" NA NA NA
"1...1133" "AB538870.1" 1 1674 "gene" "GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase" NA "NbRibA"
"1...1134" "GU388433.1" 1 648 "gene" "ER luminal protein receptor 2a" "ADI60302.1" "ERD2a"
"1...1135" "GU388432.1" 1 648 "gene" "ER luminal protein receptor 2b" "ADI60301.1" "ERD2b"
"1...1136" "HM150713.1" 1 1335 "mRNA" "CMPG1b" "ADI46214.1" NA
"1...1137" "HM150712.1" 1 1335 "mRNA" "CMPG1a" "ADI46213.1" NA
"1...1138" "AB479031.1" 1 1332 "gene" "S locus glycoprotein like protein" NA "NbSGLP"
"1...1139" "FJ465091.1" 1 2082 "CDS" "sulfite reductase" "ACN23794.1" NA
"1...1140" "GU722290.1" 1 1647 "gene" "increased size exclusion limit 1b" "ADE05572.1" "ISE1b"
"1...1141" "GU722289.1" 1 1656 "gene" "increased size exclusion limit 1a" "ADE05571.1" "ISE1a"
"1...1142" "GU361620.1" 1 3138 "gene" "calcium ATPase" "ADD91580.1" "NbCA1"
"1...1143" "HC463818.1" 112 1347 "CDS" NA NA NA
"1...1144" "DQ121388.1" 1 873 "CDS" "PHB2" "AAZ30377.1" "NbPHB2"
"1...1145" "AY365188.1" 58 1467 "CDS" "unknown" "AAQ63971.1" "contains ankyrin and tetratricopeptide (TPR) repeats"
"1...1146" "AY290702.1" 88 849 "CDS" "zinc finger protein PIF1" "AAQ54303.1" "putative transcription factor NbPIF1"
"1...1147" "AY235682.1" 1 1434 "CDS" "P58IPK" "AAP41819.1" "NbP58IPK"
"1...1148" "AY286011.1" 1 1494 "gene" "hexokinase" "AAP40021.1" "HXK1"
"1...1149" "AY271742.1" 1 187 "5'UTR" NA NA NA
"2...1150" "AY271742.1" 188 1837 "CDS" "Potyvirus VPg interacting protein" "AAP22954.1" "PVIPnb"
"3...1151" "AY271742.1" 1838 2043 "3'UTR" NA NA NA
"1...1152" "AY238968.1" 1 1740 "CDS" "pectin methyl-esterase" "AAO85706.1" NA
"1...1153" "AF494084.1" 1 462 "CDS" "SKP1" "AAO85510.1" NA
"1...1154" "AF494083.1" 1 1113 "CDS" "SGT1" "AAO85509.1" NA
"1...1155" "AY217740.1" 115 726 "CDS" "putative developmental protein" "AAO59435.1" "NbDP"
"1...1156" "AF479625.1" 41 1864 "CDS" "EDS1-like protein" "AAL85347.1" "NbEDS1"
"1...1157" "AF305075.1" 1 1118 "gene" NA NA "PCNA"
"2...1158" "AF305075.1" 110 904 "CDS" "proliferating cell nuclear antigen" "AAG24908.1" "DNA polymerase processivity factor"
"1...1159" "DQ158182.1" 1 931 "gene" NA NA "PI"
"2...1160" "DQ158182.1" 1 840 "CDS" "trypsin proteinase inhibitor precursor" "ABA42892.1" NA
